run_id,target_id,enable_spoofing,num_targets,noise_std_m,drift_rate_mps,packet_loss_rate_configured,adaptive_ekf_success_threshold_m,ekf_success_rate,rmse_m,interception_time_s,closest_approach_m,intercepted,guidance_efficiency_mps2,spoofing_variance,compute_latency_ms,energy_consumption_j,mission_success_probability,packet_loss_probability,link_snr_db,risk_index_proxy
run_002fa53c7a18,Target_1,True,4,0.45,0.3,0.05,1.3575,0.35833333333333334,7.260031741826138,5.300000000000001,184.7406391808693,True,11.577464654082254,19.761299972328608,104.78482649356715,4589.885545840478,0.3947474511651268,0.05000000000000001,-20.0,0.737832271443132
run_002fa53c7a18,Target_2,True,4,0.45,0.3,0.05,1.3575,0.31666666666666665,5.505218523580587,5.6000000000000005,308.7208400746986,True,10.328822362289584,14.231634940555068,104.78482649356715,4052.8559579288926,0.381712132007562,0.05000000000000001,-20.0,0.6875567200781062
run_002fa53c7a18,Target_3,True,4,0.45,0.3,0.05,1.3575,0.38333333333333336,2.175695736268431,6.9,188.50227792672717,True,17.58644415822143,1.3213963518726246,104.78482649356715,6298.757330620539,0.4821276223644188,0.05000000000000001,-20.0,0.4479160745449249
run_002fa53c7a18,Target_4,True,4,0.45,0.3,0.05,1.3575,0.3541666666666667,4.989787375331936,7.8500000000000005,2.328867818256003,True,21.80348304976978,2.246354635264542,104.78482649356715,7460.815690040865,0.43222830817740726,0.05000000000000001,-12.894451953374247,0.5880071338583104
run_007c955d7916,Target_1,False,6,1.2,0.3,0.07,1.992375,0.5833333333333334,5.684645143484233,8.950000000000001,111.4785583871875,True,15.038734808466067,13.254741672590795,117.04883737344154,3444.5416084796893,0.4605321797362116,0.07000000000000003,-19.89998347507895,0.6713255403450089
run_007c955d7916,Target_2,False,6,1.2,0.3,0.07,1.992375,0.2833333333333333,8.483069879156936,8.950000000000001,47.73007101115288,True,18.688408008530278,16.208503797711174,117.04883737344154,4412.354115603293,0.3654456080010193,0.07000000000000003,-18.706408107400087,0.776960679718444
run_007c955d7916,Target_3,False,6,1.2,0.3,0.07,1.992375,0.4888888888888889,3.313478108162963,8.950000000000001,165.34508869771327,True,13.82532780493654,3.1583404642963955,117.04883737344154,3119.0808007920286,0.5023313035288982,0.07000000000000003,-20.0,0.5510346445748938
run_007c955d7916,Target_4,False,6,1.2,0.3,0.07,1.992375,0.5777777777777777,4.71429063508735,5.800000000000001,267.72880519009755,True,13.290265061599285,11.894700623880114,117.04883737344154,3191.0867706264853,0.4778146788912503,0.07000000000000003,-20.0,0.6349530872533428
run_007c955d7916,Target_5,False,6,1.2,0.3,0.07,1.992375,0.3111111111111111,7.729908177281996,8.950000000000001,152.64544400285345,True,12.721249425884158,25.506247411252552,117.04883737344154,3452.0783532346595,0.37390585621333366,0.07000000000000003,-20.0,0.7655592233841962
run_007c955d7916,Target_6,False,6,1.2,0.3,0.07,1.992375,0.22777777777777777,5.721566496335882,8.950000000000001,111.55540291367834,True,11.23148799816737,9.291972231114181,117.04883737344154,2714.736756930557,0.3536009321919682,0.07000000000000003,-19.81048865099526,0.7099052692621082
run_020831e459ef,Target_1,False,4,0.45,0.3,0.05,1.3575,0.35833333333333334,7.260031741826138,5.300000000000001,184.7406391808693,True,11.577464654082254,19.761299972328608,104.78482649356715,4589.885545840478,0.3947474511651268,0.05000000000000001,-20.0,0.737832271443132
run_020831e459ef,Target_2,False,4,0.45,0.3,0.05,1.3575,0.31666666666666665,5.505218523580587,5.6000000000000005,308.7208400746986,True,10.328822362289584,14.231634940555068,104.78482649356715,4052.8559579288926,0.381712132007562,0.05000000000000001,-20.0,0.6875567200781062
run_020831e459ef,Target_3,False,4,0.45,0.3,0.05,1.3575,0.38333333333333336,2.175695736268431,6.9,188.50227792672717,True,17.58644415822143,1.3213963518726246,104.78482649356715,6298.757330620539,0.4821276223644188,0.05000000000000001,-20.0,0.4479160745449249
run_020831e459ef,Target_4,False,4,0.45,0.3,0.05,1.3575,0.3541666666666667,4.989787375331936,7.8500000000000005,2.328867818256003,True,21.80348304976978,2.246354635264542,104.78482649356715,7460.815690040865,0.43222830817740726,0.05000000000000001,-8.277262563054792,0.5880071338583104
run_03448ea80e08,Target_1,True,10,1.1,0.48,0.25,2.288,0.022727272727272728,5.101039527424552,5.75,,False,0.7312661974429935,5.340718791671721,298.9976408399442,6.829121322582234,0.0125,0.0,0.0,0.7955290854418703
run_03448ea80e08,Target_2,True,10,1.1,0.48,0.25,2.288,0.022727272727272728,3.794165018722327,6.0,,False,0.6744751421422969,1.6738082656399864,298.9976408399442,6.8066819402225684,0.01250000000014102,0.0,0.0,0.6674559450372578
run_03448ea80e08,Target_3,True,10,1.1,0.48,0.25,2.288,0.01818181818181818,1.9132793519052183,8.200000000000001,,False,0.5943519193625408,0.9542689310288895,298.9976408399442,4.962461377665949,0.010297593096335593,0.0,0.0,0.5823741742895111
