run_id,risk_index_p90,risk_index_mean,targets
run_002fa53c7a18,0.7227496060336243,0.6153280499811185,4
run_007c955d7916,0.7712599515513201,0.684956407422999,6
run_020831e459ef,0.7227496060336243,0.6153280499811185,4
run_03448ea80e08,0.7881293283215343,0.6884435789301154,10
run_0431dda233ac,0.6434538503052613,0.5966550962865211,10
run_06b10fbb37a6,0.7495486689539512,0.6567145020103168,5
run_06e38c864762,0.7068752118067356,0.5940752545915791,6
run_0726a495b925,0.6670319359021504,0.5295935901281358,7
run_075b3062441e,0.8760296658083151,0.7727370131659985,8
run_07979daf9039,0.7049979805427746,0.6215441995459473,10
run_07d9f1df6854,0.7217998286084033,0.5836067111938804,10
run_089ae2445a09,0.7446041858172818,0.5884759343029159,6
run_08b27f0f59cb,0.7390066786162406,0.6298753882854559,3
run_08bd6519d064,0.7227496060336243,0.6153280499811185,4
run_0958985cdc91,0.8571948509580529,0.7688121729164834,7
run_099925d1ecb5,0.6951294412631865,0.5940316570058692,7
run_09db370be098,0.48506982506904117,0.3922705232140286,5
run_0acd31bec11e,0.832773207638273,0.7229510642976512,7
run_0b6d7cbfacf3,0.7337741108556421,0.6387298752580137,4
run_0be101525c51,0.7358435057498584,0.6640835309287916,5
run_0c429e24b5fb,0.667655940579736,0.5032070594219517,6
run_0cebb381d2f0,0.7577198883649783,0.6460675244715787,3
run_0d1acb18c8d9,0.6886294909371982,0.6059056301803846,9
run_0d39ad4238f0,0.5291794206317108,0.48157625757772315,3
run_0e0bc659501c,0.6831008321105527,0.5784499932907848,6
run_0e15a463ff53,0.7213011352792565,0.6063831709552099,4
run_0ea9717c4860,0.7154481864486226,0.5829290400757605,5
run_0eff77131c93,0.3440930130302883,0.2526265597888725,5
run_0f3b07bf35ca,0.6892246194336883,0.5786680321899045,3
run_0fcb0f12703c,0.68561692226572,0.5108167694557516,6
run_102b5ababf0d,0.5079236088390685,0.36950070343214075,6
run_10ecfe763dd8,0.7358435057498584,0.6640835309287916,5
run_1145498a414a,0.18896318097096887,0.15136684541419904,3
run_11c9870ccad8,0.667655940579736,0.5032070594219517,6
run_121a8c95b75a,0.18896318097096887,0.15136684541419904,3
run_12d77e92272f,0.6733430480066853,0.5643264276133636,6
run_13f2dde0cccd,0.4862763368156071,0.3922981436849898,5
run_1415566680d1,0.6722793848119036,0.5674449726574288,3
run_1428b752aef8,0.8908310498953951,0.7993558275549894,8
run_14616236be1a,0.879227407963316,0.7948853825904824,8
run_14a7fb702dbf,0.7261368902674726,0.6451862239778834,4
run_14c74102e0e5,0.6831008321105527,0.5784499932907848,6
run_1522a76f6f76,0.892154457169822,0.7995340281370431,8
run_15b22dcc6d32,0.3834102919084853,0.3399253286819639,6
run_165205ab934d,0.6886294909371982,0.6059056301803846,9
run_16844ba5f483,0.5209306139325232,0.47968298907096835,3
run_168dbc26dc47,0.7188082979274809,0.6027377178368319,5
run_16e411af7aef,0.7049979805427746,0.6215441995459473,10
run_173ea36493bd,0.6956522146084825,0.5570588974364007,6
run_189bd2d0f28c,0.7163444409044636,0.6111266217811036,3
run_18da65a6f33b,0.15497892344852238,0.13311592206623787,3
run_19100e40006b,0.8760296658083151,0.7727370131659985,8
run_1a802b5d274e,0.6002838134321578,0.43287387512348907,8
run_1b1f95f92432,0.7480892750867809,0.6866195018873219,5
run_1b3c4b1082dd,0.7213011352792565,0.6063831709552099,4
run_1b8ac0618bfa,0.6753995461947926,0.5589068601669035,6
run_1bef3aff5005,0.667655940579736,0.5032070594219517,6
run_1c9f55f2e111,0.7957167097949559,0.7015194912739922,5
run_1ce3667889e7,0.7933124228681413,0.6639454932299335,10
run_1cfd3131d96a,0.12966068345578854,0.10997993655561393,5
run_1d3b25422ddb,0.68561692226572,0.5108167694557516,6
run_1d9f673ef09b,0.7480892750867809,0.6866195018873219,5
run_1db4236e3d39,0.7411773287473684,0.6536882149769678,4
run_1def82c88285,0.48934768073357204,0.3649494346721627,6
run_1eff55d1071b,0.871148378416823,0.7727428649941435,8
run_1f0eb4ad3a66,0.24734906260648337,0.13420024665611666,5
run_1f8b2315dbaf,0.791495302000872,0.6761307023606273,8
run_1f998109961b,0.12966068345578854,0.10997993655561393,5
run_1fd8f0a7136b,0.6824344172387758,0.5761062606729177,9
run_2040181197db,0.6951294412631865,0.5940316570058692,7
run_204daec7b31d,0.68561692226572,0.5108167694557516,6
run_20d9f2528a9c,0.7025577829141008,0.5786551743235597,3
run_217e8be67454,0.8169878811873706,0.7238185490341054,8
run_22e30d518081,0.7163444409044636,0.6111266217811036,3
run_23479578d8d5,0.7049979805427746,0.6215441995459473,10
run_2425139a9e45,0.7606597025017117,0.625999672917611,5
run_2441b2b8bcce,0.7176484143932914,0.5947169853256264,3
run_2450bcf1839c,0.722728162660901,0.5934001276395561,7
run_246be28a9d22,0.3834102919084853,0.3399253286819639,6
run_258f4ea275f1,0.6886294909371982,0.6059056301803846,9
run_25b721fd19b3,0.7730302158171105,0.6594650362754045,5
run_25d06b3d5a55,0.8393259254990697,0.7093040831477188,7
run_25d096f61cc2,0.7159266477694878,0.6442135111846831,3
run_25d1d40920a8,0.48934768073357204,0.3649542745450393,6
run_2628bb5cb6e9,0.4031660665859397,0.3965593542642958,5
run_265cfe53d92a,0.12486988944653969,0.10678922418314425,5
run_2742ed8f6868,0.6652394927621174,0.5837926376721012,3
run_27c18f3af9a7,0.5930358165352443,0.5185827912247096,10
run_2850c4b65dde,0.6831008321105527,0.5784499932907848,6
run_289a5154c7a7,0.5158377493332928,0.4447543778796051,9
run_28f4e797b0d4,0.673338902222685,0.5644751741679662,3
run_29be6db22aff,0.7161175161093996,0.5725380288636165,3
run_2ae755a83fe0,0.15492439891168472,0.13306139752940024,3
run_2b1155259163,0.7206815219147538,0.5640569528458342,6
run_2b4636844df0,0.7390066786162406,0.6298753882854559,3
run_2b6faaf0b826,0.36746741014118656,0.3611821821882174,5
